id,episode_id,aired
766,1329,1990-05-17
767,1330,1990-05-18
768,965,1988-11-11
769,5161,2007-02-05
770,2046,1993-06-28
771,2047,1993-06-29
772,2048,1993-06-30
773,2049,1993-07-01
774,2050,1993-07-02
775,2051,1993-07-05
776,2052,1993-07-06
777,5162,2007-02-06
778,5163,2007-02-07
779,4612,2004-09-28
780,967,1988-11-15
781,5164,2007-02-08
782,5165,2007-02-09
783,3456,1999-09-20
784,3457,1999-09-21
785,3458,1999-09-22
786,3459,1999-09-23
787,3460,1999-09-24
788,3461,1999-09-27
789,3462,1999-09-28
790,3463,1999-09-29
791,966,1988-11-14
792,3464,1999-09-30
793,3465,1999-10-01
794,3466,1999-10-04
795,3467,1999-10-05
796,3468,1999-10-06
797,5166,2007-02-12
798,5167,2007-02-13
799,5168,2007-02-14
800,4041,2002-03-11
801,4042,2002-03-12
802,4721,2005-02-28
803,4043,2002-03-13
804,4044,2002-03-14
805,4045,2002-03-15
806,4046,2002-03-18
807,4047,2002-03-19
808,4048,2002-03-20
809,4049,2002-03-21
810,4050,2002-03-22
811,4051,2002-03-25
812,4052,2002-03-26
813,1,1984-09-10
814,4053,2002-03-27
815,4054,2002-03-28
816,4055,2002-03-29
817,4056,2002-04-01
818,4057,2002-04-02
819,4058,2002-04-03
820,4059,2002-04-04
821,4060,2002-04-05
822,4061,2002-04-08
823,4062,2002-04-09
824,2,1984-09-11
825,4063,2002-04-10
826,4064,2002-04-11
827,4065,2002-04-12
828,4066,2002-04-15
829,4067,2002-04-16
830,4068,2002-04-17
831,4069,2002-04-18
832,4070,2002-04-19
833,4071,2002-04-22
834,4072,2002-04-23
835,4723,2005-03-02
836,4073,2002-04-24
837,4074,2002-04-25
838,4075,2002-04-26
839,4076,2002-04-29
840,5169,2007-02-15
841,5170,2007-02-16
842,571,1987-02-16
843,5171,2007-02-19
844,5172,2007-02-20
845,5173,2007-02-21
846,4722,2005-03-01
847,5174,2007-02-22
848,5175,2007-02-23
849,5176,2007-02-26
850,5177,2007-02-27
851,5178,2007-02-28
852,5179,2007-03-01
853,5180,2007-03-02
854,5181,2007-03-05
855,5182,2007-03-06
856,5183,2007-03-07
857,3,1984-09-12
858,5184,2007-03-08
859,5185,2007-03-09
860,5186,2007-03-12
861,5187,2007-03-13
862,5188,2007-03-14
863,5189,2007-03-15
864,5190,2007-03-16
865,1872,1992-10-27
866,3790,2001-02-09
867,5191,2007-03-19
868,968,1988-11-16
869,5192,2007-03-20
870,5193,2007-03-21
871,5195,2007-03-23
872,5194,2007-03-22
873,5196,2007-03-26
874,5197,2007-03-27
875,5198,2007-03-28
876,5199,2007-03-29
877,5200,2007-03-30
878,3676,2000-09-04
879,4,1984-09-13
880,3677,2000-09-05
881,5201,2007-04-02
882,5202,2007-04-03
883,5203,2007-04-04
884,5204,2007-04-05
885,5205,2007-04-06
886,5206,2007-04-09
887,5207,2007-04-10
888,5208,2007-04-11
889,5209,2007-04-12
890,4613,2004-09-29
891,5,1984-09-14
892,5210,2007-04-13
893,5211,2007-04-16
894,5212,2007-04-17
895,5213,2007-04-18
896,5214,2007-04-19
897,5215,2007-04-20
898,3678,2000-09-06
899,3679,2000-09-07
900,3680,2000-09-08
901,3681,2000-09-11
902,969,1988-11-17
903,5216,2007-04-23
904,5217,2007-04-24
905,3682,2000-09-12
906,5218,2007-04-25
907,5219,2007-04-26
908,3683,2000-09-13
909,3684,2000-09-14
910,5220,2007-04-27
911,3685,2000-09-15
912,3615,2000-04-28
913,970,1988-11-18
914,3616,2000-05-01
915,3617,2000-05-02
916,3618,2000-05-03
917,3619,2000-05-04
918,3620,2000-05-05
919,3686,2000-09-18
920,3687,2000-09-19
921,3688,2000-09-20
922,5221,2007-04-30
923,5222,2007-05-01
924,4724,2005-03-03
925,3689,2000-09-21
926,3690,2000-09-22
927,5223,2007-05-02
928,3691,2000-09-25
929,3692,2000-09-26
930,5224,2007-05-03
931,3693,2000-09-27
932,3694,2000-09-28
933,5225,2007-05-04
934,3695,2000-09-29
935,2985,1997-07-18
936,3701,2000-10-09
937,3702,2000-10-10
938,5226,2007-05-07
939,3704,2000-10-12
940,5227,2007-05-08
941,3705,2000-10-13
942,5228,2007-05-09
943,3706,2000-10-16
944,3707,2000-10-17
945,3708,2000-10-18
946,4725,2005-03-04
947,5229,2007-05-10
948,5230,2007-05-11
949,3709,2000-10-19
950,3710,2000-10-20
951,3711,2000-10-23
952,3712,2000-10-24
953,5231,2007-05-14
954,3713,2000-10-25
955,5232,2007-05-15
956,3714,2000-10-26
957,2682,1996-04-09
958,5233,2007-05-16
959,3715,2000-10-27
960,3671,2000-07-17
961,3672,2000-07-18
962,5234,2007-05-17
963,5235,2007-05-18
964,3721,2000-11-06
965,3722,2000-11-07
966,5236,2007-05-21
967,5237,2007-05-22
968,2683,1996-04-10
969,5238,2007-05-23
970,5239,2007-05-24
971,5240,2007-05-25
972,3733,2000-11-22
973,5241,2007-05-28
974,5242,2007-05-29
975,3734,2000-11-23
976,3735,2000-11-24
977,5243,2007-05-30
978,5244,2007-05-31
979,3383,1999-04-28
980,5245,2007-06-01
981,3050,1997-11-28
982,3051,1997-12-01
983,5246,2007-06-04
984,5247,2007-06-05
985,3052,1997-12-02
986,5248,2007-06-06
987,3053,1997-12-03
988,3054,1997-12-04
